# Time,Error,MotorSpeed,MotorCommand
0.0000,12.0000,45.0000,0.0000
0.0500,12.0000,45.0000,0.0000
0.1100,12.0000,45.0000,0.0000
0.1600,12.0000,45.0000,0.0000
0.2100,12.0000,45.0000,0.0000
0.2600,12.0000,45.0000,0.0000
0.3200,12.0000,45.0000,0.0000
0.3700,12.0000,45.0000,0.0000
0.4200,12.0000,45.0000,0.0000
0.4700,12.0000,45.0000,0.0000
0.5300,12.0000,45.0000,0.0000
0.5800,12.0000,45.0000,0.0000
0.6300,12.0000,45.0000,0.0000
0.6900,12.0000,45.0000,0.0000
0.7400,12.0000,45.0000,0.0000
0.7900,12.0000,45.0000,0.0000
0.8400,12.0000,45.0000,0.0000
0.9000,12.0000,45.0000,0.0000
0.9500,12.0000,45.0000,0.0000
1.0000,12.0000,45.0000,0.0000
1.0500,12.0000,45.0000,0.0000
1.1100,12.0000,45.0000,0.0000
1.1600,12.0000,45.0000,0.0000
1.2100,12.0000,45.0000,0.0000
1.2700,12.0000,45.0000,0.0000
1.3200,12.0000,45.0000,0.0000
1.3700,12.0000,45.0000,0.0000
1.4200,12.0000,45.0000,0.0000
1.4800,12.0000,45.0000,0.0000
1.5300,12.0000,45.0000,0.0000
1.5800,12.0000,45.0000,0.0000
1.6400,12.0000,45.0000,0.0000
1.6900,12.0000,45.0000,0.0000
1.7400,12.0000,45.0000,0.0000
1.7900,12.0000,45.0000,0.0000
1.8500,12.0000,45.0000,0.0000
1.9000,12.0000,45.0000,0.0000
1.9500,12.0000,45.0000,0.0000
2.0100,12.0000,45.0000,0.0000
