# Time,Error,MotorSpeed,MotorCommand
0.0000,12.0000,45.0000,0.0000
0.0500,12.0000,45.0000,0.0000
0.1100,12.0000,45.0000,0.0000
0.1600,12.0000,45.0000,0.0000
0.2100,12.0000,45.0000,0.0000
0.2600,12.0000,45.0000,0.0000
0.3200,12.0000,45.0000,0.0000
0.3700,12.0000,45.0000,1.0000
0.4200,12.0000,45.0000,1.0000
0.4700,12.0000,45.0000,1.0000
0.5300,12.0000,45.0000,1.0000
0.5800,12.0000,45.0000,1.0000
0.6300,12.0000,45.0000,1.0000
0.6900,12.0000,45.0000,1.0000
0.7400,12.0000,45.0000,1.0000
0.7900,12.0000,45.0000,1.0000
0.8500,12.0000,45.0000,1.0000
0.9000,12.0000,45.0000,1.0000
0.9500,12.0000,45.0000,1.0000
1.0000,12.0000,45.0000,1.0000
1.0600,12.0000,45.0000,1.0000
1.1100,12.0000,45.0000,1.0000
1.1600,12.0000,45.0000,1.0000
1.2200,12.0000,45.0000,1.0000
1.2700,12.0000,45.0000,1.0000
1.3200,12.0000,45.0000,1.0000
1.3800,12.0000,45.0000,1.0000
1.4300,12.0000,45.0000,1.0000
1.4800,12.0000,45.0000,1.0000
1.5300,12.0000,45.0000,1.0000
1.5900,12.0000,45.0000,1.0000
1.6400,12.0000,45.0000,1.0000
1.6900,12.0000,45.0000,1.0000
1.7500,12.0000,45.0000,1.0000
1.8000,12.0000,45.0000,1.0000
1.8500,12.0000,45.0000,1.0000
1.9000,12.0000,45.0000,1.0000
1.9600,12.0000,45.0000,1.0000
2.0100,12.0000,45.0000,1.0000
2.0600,12.0000,45.0000,1.0000
2.1200,12.0000,45.0000,1.0000
2.1700,12.0000,45.0000,1.0000
2.2200,12.0000,45.0000,1.0000
2.2800,12.0000,45.0000,1.0000
2.3300,12.0000,45.0000,1.0000
2.3800,12.0000,45.0000,1.0000
2.4400,12.0000,45.0000,1.0000
2.4900,12.0000,45.0000,1.0000
2.5400,12.0000,45.0000,1.0000
2.5900,12.0000,45.0000,1.0000
2.6500,12.0000,45.0000,1.0000
2.7000,12.0000,45.0000,1.0000
2.7500,12.0000,45.0000,1.0000
2.8100,12.0000,45.0000,1.0000
2.8600,12.0000,45.0000,1.0000
2.9100,12.0000,45.0000,1.0000
2.9700,12.0000,45.0000,1.0000
3.0200,12.0000,45.0000,1.0000
3.0700,12.0000,45.0000,1.0000
3.1200,12.0000,45.0000,1.0000
3.1800,12.0000,45.0000,1.0000
3.2300,12.0000,45.0000,1.0000
3.2800,12.0000,45.0000,1.0000
3.3400,12.0000,45.0000,1.0000
3.3900,12.0000,45.0000,1.0000
3.4400,12.0000,45.0000,1.0000
3.5000,12.0000,45.0000,1.0000
3.5500,12.0000,45.0000,1.0000
3.6000,12.0000,45.0000,1.0000
3.6500,12.0000,45.0000,1.0000
3.7100,12.0000,45.0000,1.0000
3.7600,12.0000,45.0000,1.0000
3.8100,12.0000,45.0000,1.0000
3.8700,12.0000,45.0000,1.0000
3.9200,12.0000,45.0000,1.0000
3.9700,12.0000,45.0000,1.0000
4.0300,12.0000,45.0000,1.0000
4.0800,12.0000,45.0000,1.0000
4.1300,12.0000,45.0000,1.0000
4.1800,12.0000,45.0000,1.0000
4.2400,12.0000,45.0000,1.0000
4.2900,12.0000,45.0000,1.0000
4.3400,12.0000,45.0000,1.0000
4.4000,12.0000,45.0000,1.0000
4.4500,12.0000,45.0000,1.0000
4.5000,12.0000,45.0000,1.0000
4.5500,12.0000,45.0000,1.0000
4.6100,12.0000,45.0000,1.0000
4.6600,12.0000,45.0000,1.0000
4.7100,12.0000,45.0000,1.0000
4.7700,12.0000,45.0000,1.0000
4.8200,12.0000,45.0000,1.0000
4.8700,12.0000,45.0000,1.0000
4.9300,12.0000,45.0000,1.0000
4.9800,12.0000,45.0000,1.0000
5.0300,12.0000,45.0000,1.0000
5.0900,12.0000,45.0000,1.0000
5.1400,12.0000,45.0000,1.0000
5.1900,12.0000,45.0000,1.0000
5.2400,12.0000,45.0000,1.0000
5.3000,12.0000,45.0000,1.0000
5.3500,12.0000,45.0000,1.0000
5.4000,12.0000,45.0000,1.0000
5.4600,12.0000,45.0000,1.0000
5.5100,12.0000,45.0000,1.0000
5.5600,12.0000,45.0000,1.0000
5.6100,12.0000,45.0000,1.0000
5.6700,12.0000,45.0000,1.0000
5.7200,12.0000,45.0000,1.0000
5.7700,12.0000,45.0000,1.0000
5.8300,12.0000,45.0000,1.0000
5.8800,12.0000,45.0000,1.0000
5.9300,12.0000,45.0000,1.0000
5.9900,12.0000,45.0000,1.0000
6.0400,12.0000,45.0000,1.0000
6.0900,12.0000,45.0000,1.0000
6.1500,12.0000,45.0000,1.0000
6.2000,12.0000,45.0000,1.0000
6.2500,12.0000,45.0000,1.0000
6.3000,12.0000,45.0000,1.0000
6.3600,12.0000,45.0000,1.0000
6.4100,12.0000,45.0000,1.0000
6.4600,12.0000,45.0000,1.0000
6.5100,12.0000,45.0000,1.0000
6.5700,12.0000,45.0000,1.0000
6.6200,12.0000,45.0000,1.0000
6.6800,12.0000,45.0000,1.0000
6.7300,12.0000,45.0000,1.0000
6.7800,12.0000,45.0000,1.0000
6.8300,12.0000,45.0000,1.0000
6.8900,12.0000,45.0000,1.0000
6.9400,12.0000,45.0000,1.0000
6.9900,12.0000,45.0000,1.0000
7.0500,12.0000,45.0000,1.0000
7.1000,12.0000,45.0000,1.0000
7.1500,12.0000,45.0000,0.1000
7.2000,12.0000,45.0000,1.0000
7.2600,12.0000,45.0000,1.0000
7.3100,12.0000,45.0000,1.0000
7.3600,12.0000,45.0000,1.0000
7.4200,12.0000,45.0000,1.0000
7.4700,12.0000,45.0000,1.0000
7.5200,12.0000,45.0000,1.0000
7.5700,12.0000,45.0000,1.0000
7.6300,12.0000,45.0000,1.0000
7.6800,12.0000,45.0000,1.0000
7.7400,12.0000,45.0000,1.0000
7.7900,12.0000,45.0000,1.0000
7.8400,12.0000,45.0000,1.0000
7.8900,12.0000,45.0000,1.0000
7.9500,12.0000,45.0000,1.0000
8.0000,12.0000,45.0000,1.0000
8.0500,12.0000,45.0000,1.0000
8.1000,12.0000,45.0000,1.0000
8.1600,12.0000,45.0000,1.0000
8.2100,12.0000,45.0000,1.0000
8.2600,12.0000,45.0000,1.0000
8.3200,12.0000,45.0000,1.0000
8.3700,12.0000,45.0000,1.0000
8.4200,12.0000,45.0000,1.0000
8.4800,12.0000,45.0000,1.0000
8.5300,12.0000,45.0000,1.0000
8.5800,12.0000,45.0000,1.0000
8.6400,12.0000,45.0000,1.0000
8.6900,12.0000,45.0000,1.0000
8.7400,12.0000,45.0000,1.0000
8.8000,12.0000,45.0000,1.0000
8.8500,12.0000,45.0000,1.0000
8.9000,12.0000,45.0000,1.0000
8.9500,12.0000,45.0000,1.0000
9.0100,12.0000,45.0000,1.0000
9.0600,12.0000,45.0000,1.0000
9.1100,12.0000,45.0000,1.0000
9.1700,12.0000,45.0000,1.0000
9.2200,12.0000,45.0000,1.0000
9.2700,12.0000,45.0000,1.0000
9.3200,12.0000,45.0000,1.0000
9.3800,12.0000,45.0000,1.0000
9.4300,12.0000,45.0000,1.0000
9.4800,12.0000,45.0000,1.0000
9.5400,12.0000,45.0000,1.0000
9.5900,12.0000,45.0000,1.0000
9.6400,12.0000,45.0000,1.0000
9.7000,12.0000,45.0000,1.0000
9.7500,12.0000,45.0000,1.0000
9.8000,12.0000,45.0000,1.0000
9.8500,12.0000,45.0000,1.0000
9.9100,12.0000,45.0000,1.0000
9.9600,12.0000,45.0000,1.0000
10.0100,12.0000,45.0000,1.0000
10.0700,12.0000,45.0000,1.0000
10.1200,12.0000,45.0000,1.0000
10.1700,12.0000,45.0000,1.0000
10.2300,12.0000,45.0000,1.0000
10.2800,12.0000,45.0000,1.0000
10.3300,12.0000,45.0000,1.0000
10.3900,12.0000,45.0000,1.0000
10.4400,12.0000,45.0000,1.0000
10.4900,12.0000,45.0000,1.0000
10.5400,12.0000,45.0000,1.0000
10.6000,12.0000,45.0000,1.0000
10.6500,12.0000,45.0000,1.0000
10.7000,12.0000,45.0000,1.0000
10.7600,12.0000,45.0000,1.0000
10.8100,12.0000,45.0000,1.0000
10.8600,12.0000,45.0000,1.0000
10.9200,12.0000,45.0000,1.0000
10.9700,12.0000,45.0000,1.0000
11.0200,12.0000,45.0000,1.0000
11.0700,12.0000,45.0000,1.0000
11.1300,12.0000,45.0000,1.0000
11.1800,12.0000,45.0000,1.0000
11.2300,12.0000,45.0000,1.0000
11.2900,12.0000,45.0000,1.0000
11.3400,12.0000,45.0000,1.0000
11.3900,12.0000,45.0000,1.0000
11.4500,12.0000,45.0000,1.0000
11.5000,12.0000,45.0000,1.0000
11.5500,12.0000,45.0000,1.0000
11.6000,12.0000,45.0000,1.0000
11.6600,12.0000,45.0000,1.0000
11.7100,12.0000,45.0000,1.0000
11.7600,12.0000,45.0000,1.0000
11.8200,12.0000,45.0000,1.0000
11.8700,12.0000,45.0000,1.0000
11.9200,12.0000,45.0000,1.0000
11.9800,12.0000,45.0000,1.0000
12.0300,12.0000,45.0000,1.0000
12.0800,12.0000,45.0000,1.0000
12.1400,12.0000,45.0000,1.0000
12.1900,12.0000,45.0000,1.0000
12.2400,12.0000,45.0000,1.0000
12.2900,12.0000,45.0000,1.0000
12.3500,12.0000,45.0000,1.0000
12.4000,12.0000,45.0000,1.0000
12.4500,12.0000,45.0000,1.0000
12.5100,12.0000,45.0000,1.0000
12.5600,12.0000,45.0000,1.0000
12.6100,12.0000,45.0000,1.0000
12.6700,12.0000,45.0000,1.0000
12.7200,12.0000,45.0000,1.0000
12.7700,12.0000,45.0000,1.0000
12.8200,12.0000,45.0000,1.0000
12.8800,12.0000,45.0000,1.0000
12.9300,12.0000,45.0000,1.0000
12.9800,12.0000,45.0000,1.0000
13.0400,12.0000,45.0000,1.0000
13.0900,12.0000,45.0000,1.0000
13.1400,12.0000,45.0000,1.0000
13.2000,12.0000,45.0000,1.0000
13.2500,12.0000,45.0000,1.0000
13.3000,12.0000,45.0000,1.0000
13.3500,12.0000,45.0000,1.0000
13.4100,12.0000,45.0000,1.0000
13.4600,12.0000,45.0000,1.0000
13.5100,12.0000,45.0000,1.0000
13.5700,12.0000,45.0000,1.0000
13.6200,12.0000,45.0000,1.0000
13.6700,12.0000,45.0000,1.0000
13.7300,12.0000,45.0000,1.0000
13.7800,12.0000,45.0000,1.0000
13.8300,12.0000,45.0000,3.6000
13.8900,12.0000,45.0000,8.1000
13.9400,12.0000,45.0000,9.1000
13.9900,12.0000,45.0000,9.1000
14.0500,12.0000,45.0000,9.1000
14.1000,12.0000,45.0000,9.1000
14.1500,12.0000,45.0000,9.1000
14.2000,12.0000,45.0000,9.1000
14.2600,12.0000,45.0000,9.1000
14.3100,12.0000,45.0000,9.1000
14.3600,12.0000,45.0000,9.1000
14.4200,12.0000,45.0000,9.1000
14.4700,12.0000,45.0000,9.1000
14.5200,12.0000,45.0000,9.1000
14.5700,12.0000,45.0000,9.1000
14.6300,12.0000,45.0000,9.1000
14.6800,12.0000,45.0000,9.1000
14.7300,12.0000,45.0000,9.1000
14.7900,12.0000,45.0000,9.1000
14.8400,12.0000,45.0000,9.1000
14.8900,12.0000,45.0000,9.1000
14.9500,12.0000,45.0000,9.1000
15.0000,12.0000,45.0000,9.1000
15.0500,12.0000,45.0000,9.1000
15.1100,12.0000,45.0000,9.1000
15.1600,12.0000,45.0000,9.1000
15.2100,12.0000,45.0000,9.1000
15.2600,12.0000,45.0000,9.1000
15.3200,12.0000,45.0000,9.1000
15.3700,12.0000,45.0000,9.1000
15.4200,12.0000,45.0000,9.1000
15.4800,12.0000,45.0000,9.1000
15.5300,12.0000,45.0000,9.1000
15.5800,12.0000,45.0000,9.1000
15.6400,12.0000,45.0000,9.1000
15.6900,12.0000,45.0000,9.1000
15.7400,12.0000,45.0000,9.1000
15.8000,12.0000,45.0000,9.1000
15.8500,12.0000,45.0000,9.1000
15.9000,12.0000,45.0000,9.1000
15.9500,12.0000,45.0000,9.1000
16.0100,12.0000,45.0000,9.1000
16.0600,12.0000,45.0000,9.1000
16.1100,12.0000,45.0000,9.1000
16.1700,12.0000,45.0000,9.1000
16.2200,12.0000,45.0000,9.1000
16.2700,12.0000,45.0000,9.1000
16.3300,12.0000,45.0000,9.1000
16.3800,12.0000,45.0000,9.1000
16.4300,12.0000,45.0000,9.1000
16.4800,12.0000,45.0000,9.1000
16.5400,12.0000,45.0000,9.1000
16.5900,12.0000,45.0000,9.1000
16.6400,12.0000,45.0000,9.1000
16.7000,12.0000,45.0000,9.1000
16.7500,12.0000,45.0000,9.1000
16.8000,12.0000,45.0000,9.1000
16.8600,12.0000,45.0000,9.1000
