# Time,Error,MotorSpeed,MotorCommand
0.0000,12.0000,45.0000,0.0000
0.0500,12.0000,45.0000,0.0000
0.1100,12.0000,45.0000,0.0000
0.1600,12.0000,45.0000,0.0000
0.2100,12.0000,45.0000,0.0000
0.2600,12.0000,45.0000,0.0000
0.3200,12.0000,45.0000,0.0000
0.3700,12.0000,45.0000,0.0000
0.4200,12.0000,45.0000,0.0000
0.4700,12.0000,45.0000,0.0000
0.5300,12.0000,45.0000,0.0000
0.5800,12.0000,45.0000,0.0000
0.6300,12.0000,45.0000,0.0000
0.6900,12.0000,45.0000,0.0000
0.7400,12.0000,45.0000,0.0000
0.7900,12.0000,45.0000,0.0000
0.8400,12.0000,45.0000,0.0000
0.9000,12.0000,45.0000,0.0000
0.9500,12.0000,45.0000,0.0000
1.0000,12.0000,45.0000,0.0000
1.0500,12.0000,45.0000,0.0000
1.1100,12.0000,45.0000,0.0000
1.1600,12.0000,45.0000,0.0000
1.2100,12.0000,45.0000,0.0000
1.2700,12.0000,45.0000,0.0000
1.3200,12.0000,45.0000,0.0000
1.3700,12.0000,45.0000,0.0000
1.4200,12.0000,45.0000,0.0000
1.4800,12.0000,45.0000,0.0000
1.5300,12.0000,45.0000,0.0000
1.5800,12.0000,45.0000,0.0000
1.6400,12.0000,45.0000,0.0000
1.6900,12.0000,45.0000,0.0000
1.7400,12.0000,45.0000,0.0000
1.7900,12.0000,45.0000,0.0000
1.8500,12.0000,45.0000,1.0000
1.9000,12.0000,45.0000,1.0000
1.9500,12.0000,45.0000,1.0000
2.0100,12.0000,45.0000,1.0000
2.0600,12.0000,45.0000,1.0000
2.1100,12.0000,45.0000,1.0000
2.1700,12.0000,45.0000,1.0000
2.2200,12.0000,45.0000,1.0000
2.2700,12.0000,45.0000,1.0000
2.3200,12.0000,45.0000,1.0000
2.3800,12.0000,45.0000,1.0000
2.4300,12.0000,45.0000,1.0000
2.4800,12.0000,45.0000,1.0000
2.5400,12.0000,45.0000,1.0000
2.5900,12.0000,45.0000,1.0000
2.6400,12.0000,45.0000,1.0000
2.7000,12.0000,45.0000,1.0000
2.7500,12.0000,45.0000,1.0000
2.8000,12.0000,45.0000,1.0000
2.8500,12.0000,45.0000,1.0000
2.9100,12.0000,45.0000,1.0000
2.9600,12.0000,45.0000,1.0000
3.0100,12.0000,45.0000,1.0000
3.0700,12.0000,45.0000,1.0000
3.1200,12.0000,45.0000,1.0000
3.1700,12.0000,45.0000,1.0000
3.2300,12.0000,45.0000,1.0000
3.2800,12.0000,45.0000,1.0000
3.3300,12.0000,45.0000,1.0000
3.3800,12.0000,45.0000,1.0000
3.4400,12.0000,45.0000,1.0000
3.4900,12.0000,45.0000,1.0000
3.5400,12.0000,45.0000,1.0000
3.6000,12.0000,45.0000,1.0000
3.6500,12.0000,45.0000,1.0000
3.7000,12.0000,45.0000,1.0000
3.7600,12.0000,45.0000,1.0000
3.8100,12.0000,45.0000,1.0000
3.8600,12.0000,45.0000,1.0000
3.9100,12.0000,45.0000,1.0000
3.9700,12.0000,45.0000,1.0000
4.0200,12.0000,45.0000,1.0000
4.0700,12.0000,45.0000,1.0000
4.1300,12.0000,45.0000,1.0000
4.1800,12.0000,45.0000,1.0000
4.2300,12.0000,45.0000,1.0000
4.2800,12.0000,45.0000,1.0000
4.3400,12.0000,45.0000,1.0000
4.3900,12.0000,45.0000,1.0000
4.4400,12.0000,45.0000,1.0000
4.5000,12.0000,45.0000,1.0000
4.5500,12.0000,45.0000,1.0000
4.6000,12.0000,45.0000,1.0000
4.6600,12.0000,45.0000,1.0000
4.7100,12.0000,45.0000,1.0000
4.7600,12.0000,45.0000,1.0000
4.8100,12.0000,45.0000,1.0000
